Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60
Tracks 1 to 60
1,1125.1129,191.20967, ,1100.0927,313.53705, ,1210.2678,400.05356, ,1346.2391,519.54346, ,761.4783,526.587, ,795.425,542.475, ,481.60257,665.03845, ,648.43335,679.94446, ,731.82355,820.41174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1125.1897,186.84483, ,1100.25,316.91666, ,1211.8518,395.31482, ,1351.091,523.4091, ,764.36664,522.1445, ,801.78,544.54, ,482.5,664.7439, ,651.96344,680.7683, ,734.4231,816.3461, ,840.3571,229.78572, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,1127.8448,185.22414, ,1099.2037,316.9074, ,1214.1052,394.39474, ,1349.35,523.15, ,769.117,523.3723, ,803.61536,544.6731, ,484.96155,659.0897, ,654.375,676.45, ,733.2368,815.2895, ,841.625,224.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,1127.0769,185.57692, ,1098.7727,313.81818, ,1215.9062,393.54688, ,1349.7354,525.2059, ,762.66327,521.0714, ,798.7857,549.5612, ,481.15,660.05, ,651.7368,675.3421, ,733.725,814.95, ,844.375,231.375, ,550.6818,119.22727, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,1132.3966,188.08621, ,1103.2,311.25, ,1215.48,395.88, ,1346.5,522.1842, ,765.3723,518.15955, ,801.78,548.68, ,481.3409,655.1818, ,651.4524,670.1905, ,735.75,814.21875, ,835.5909,235.40909, ,548.5,123.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,1135.6852,190.09259, ,1101.5,315.2, ,1211.1171,398.2447, ,1344.1316,522.9737, ,761.5,512.0, ,795.54443,547.76666, ,482.9737,655.1842, ,649.8571,672.119, ,733.8421,813.2632, ,841.6667,232.83333, ,547.7,123.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,1141.1897,187.01724, ,1099.0834,310.04166, ,1208.8877,397.70407, ,1340.5,520.7632, ,761.9583,513.1042, ,792.2826,551.63043, ,483.5,653.0, ,651.10974,670.1585, ,731.4375,813.71875, ,838.36206,235.91379, ,548.92426,120.56061, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,1140.2037,186.53703, ,1098.0172,303.4655, ,1209.696,400.61765, ,1340.6818,518.4545, ,762.117,512.4787, ,791.1585,556.20734, ,485.94736,657.3421, ,651.5263,671.3158, ,736.5,814.5, ,840.2692,238.6923, ,548.9667,118.36667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,1144.0862,184.22414, ,1093.8572,300.64285, ,1211.0593,401.92374, ,1345.4412,517.2647, ,761.2843,513.5784, ,788.4184,555.19385, ,485.46774,655.69354, ,652.2111,670.9, ,734.0128,809.78204, ,842.19696,240.25757, ,554.4231,122.57692, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
