Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
1,452.9375,89.3125, ,1061.6356,149.02542, ,1125.1129,191.20967, ,1062.5294,217.94118, ,1231.9412,256.35294, ,576.26544,290.99384, ,1100.0927,313.53705, ,426.18655,367.6045, ,1210.2678,400.05356, ,1105.7439,469.5, ,1346.2391,519.54346, ,761.4783,526.587, ,795.425,542.475, ,853.3452,546.4762, ,1037.1459,656.4375, ,481.60257,665.03845, ,648.43335,679.94446, ,671.2778,797.4907, ,731.82355,820.41174, ,1217.5426,836.5213, ,655.81323,929.43976, ,980.6584,982.66833, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,444.78156,94.597084,*,1062.7858,145.59525, ,1125.1897,186.84483, ,1062.8715,219.38571,*,1227.4623,258.74527, ,577.73376,289.7857, ,1100.25,316.91666, ,426.98718,369.84616, ,1211.8518,395.31482, ,1112.7667,474.1889, ,1351.091,523.4091, ,764.36664,522.1445, ,801.78,544.54, ,854.375,548.5568, ,1040.2701,659.0402, ,482.5,664.7439, ,651.96344,680.7683, ,666.732,798.612, ,734.4231,816.3461, ,1217.9572,833.9143, ,654.5411,931.7055, ,981.1875,981.2768, ,840.3571,229.78572, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,444.35245,96.090164, ,1062.6471,140.85294,*,1127.8448,185.22414, ,1063.0122,218.69513, ,1224.0193,256.09616, ,575.82434,285.8243, ,1099.2037,316.9074, ,427.7,368.08463, ,1214.1052,394.39474, ,1112.2805,477.62195, ,1349.35,523.15, ,769.117,523.3723, ,803.61536,544.6731, ,853.3461,544.76373, ,1045.5555,657.6667, ,484.96155,659.0897, ,654.375,676.45, ,663.2807,796.7193, ,733.2368,815.2895, ,1211.5,829.1462, ,653.9167,929.6667, ,983.3506,977.431, ,841.625,224.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,448.65,95.8, ,1060.5317,141.94444, ,1127.0769,185.57692, ,1062.3975,219.39743, ,1223.4592,256.0102, ,577.58453,282.03522, ,1098.7727,313.81818, ,424.82837,367.63434, ,1215.9062,393.54688, ,1116.0349,473.9186, ,1349.7354,525.2059, ,762.66327,521.0714, ,798.7857,549.5612, ,853.3571,548.23627, ,1044.4375,659.3958, ,481.15,660.05, ,651.7368,675.3421, ,664.2273,795.7397, ,733.725,814.95, ,1207.1038,826.34906, ,655.93335,928.5333, ,985.96576,981.73285, ,844.375,231.375, ,550.6818,119.22727, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,451.83334,95.86, ,1062.9889,145.36667, ,1132.3966,188.08621, ,1062.0278,219.38889, ,1222.8695,260.26086, ,575.64636,285.65854, ,1103.2,311.25, ,429.13635,371.0091, ,1215.48,395.88, ,1116.0,474.5, ,1346.5,522.1842, ,765.3723,518.15955, ,801.78,548.68, ,857.17413,546.7809, ,1043.0532,656.0851, ,481.3409,655.1818, ,651.4524,670.1905, ,662.29614,793.26697, ,735.75,814.21875, ,1204.8922,823.63727, ,654.7727,928.3182, ,989.37756,979.5714, ,835.5909,235.40909, ,548.5,123.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,453.47754,93.98315, ,1061.949,142.98979, ,1135.6852,190.09259, ,1062.1945,219.08333, ,1225.0,256.06668, ,571.35364,288.14633, ,1101.5,315.2, ,434.7154,375.62308, ,1211.1171,398.2447, ,1118.407,480.8721, ,1344.1316,522.9737, ,761.5,512.0, ,795.54443,547.76666, ,855.7857,548.0, ,1045.9878,657.45123, ,482.9737,655.1842, ,649.8571,672.119, ,663.6653,793.6074, ,733.8421,813.2632, ,1205.3413,820.5, ,657.3732,929.0493, ,987.7252,978.41895, ,841.6667,232.83333, ,547.7,123.06, ,1110.6578,765.8553, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,454.92648,96.95588, ,1066.7812,144.09375, ,1141.1897,187.01724, ,1063.1818,219.13637, ,1225.3334,260.41666, ,569.7967,290.85165, ,1099.0834,310.04166, ,429.02,370.5, ,1208.8877,397.70407, ,1120.9359,479.2436, ,1340.5,520.7632, ,761.9583,513.1042, ,792.2826,551.63043, ,854.4367,548.981, ,1046.5898,663.0955, ,483.5,653.0, ,651.10974,670.1585, ,663.07263,794.37177, ,731.4375,813.71875, ,1207.4846,815.60767, ,658.0309,927.2778, ,982.5598,979.5427, ,838.36206,235.91379, ,548.92426,120.56061, ,1108.3334,772.76666,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,452.0111,99.3, ,1064.1818,143.84848, ,1140.2037,186.53703, ,1062.4318,219.38637, ,1222.5,260.8913, ,564.8516,289.7088, ,1098.0172,303.4655, ,432.38058,367.6045, ,1209.696,400.61765, ,1120.4269,476.91464, ,1340.6818,518.4545, ,762.117,512.4787, ,791.1585,556.20734, ,854.4462,542.7043, ,1046.0682,669.8977, ,485.94736,657.3421, ,651.5263,671.3158, ,662.91595,791.4115, ,736.5,814.5, ,1209.4265,815.2206, ,660.46344,927.061, ,983.2475,981.2475, ,840.2692,238.6923, ,548.9667,118.36667, ,1107.6936,770.5323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,452.39285,98.33929, ,1062.5408,142.86734, ,1144.0862,184.22414, ,1063.575,218.875, ,1224.362,257.43103, ,564.3313,289.01807, ,1093.8572,300.64285, ,432.43442,367.82788, ,1211.0593,401.92374, ,1121.6316,476.6579, ,1345.4412,517.2647, ,761.2843,513.5784, ,788.4184,555.19385, ,859.2778,544.6, ,1041.1414,673.43475, ,485.46774,655.69354, ,652.2111,670.9, ,668.6518,789.3304, ,734.0128,809.78204, ,1210.7972,817.58105, ,659.7159,928.0909, ,981.5762,981.39526, ,842.19696,240.25757, ,554.4231,122.57692, ,1108.6887,766.8019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
