Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
1,532.15515,13.568966, ,889.9474,23.18421, ,663.384,54.439228, ,446.82,91.82667, ,559.4091,118.59091, ,1062.7577,147.54124, ,1063.7302,216.96043, ,352.1182,226.15454, ,576.37067,289.52585, ,1100.8962,312.0849, ,1258.6333,341.1, ,426.00848,366.31357, ,994.62585,366.92383, ,1211.6052,398.6263, ,441.71054,418.1579, ,1106.2778,468.76984, ,283.2983,475.2143, ,615.8582,496.18655, ,1347.5227,518.3182, ,761.587,525.7754, ,853.29364,545.98413, ,381.93478,622.587, ,1037.6832,655.7901, ,320.6,662.9, ,481.21667,664.4167, ,648.6875,679.40625, ,1123.5928,772.18555, ,671.2636,796.9667, ,731.62067,819.9655, ,1218.4886,835.9205, ,1326.4861,885.0, ,372.76505,921.9217, ,655.93634,929.2545, ,513.2547,931.90564, ,1211.3864,952.61365, ,981.3278,982.4139, ,1042.5,982.6957, ,520.3333,993.1429, ,434.7,993.675, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,527.46295,17.277779, ,888.53125,19.71875, ,666.836,53.804, ,444.46027,93.11589, ,554.53705,121.68519, ,1065.5468,143.67757, ,1064.2914,217.27698, ,353.11365,223.375, ,577.60254,288.40598, ,1100.82,315.54, ,1255.9509,342.2647, ,425.96902,368.92477, ,998.125,364.8092, ,1212.4897,394.13266, ,444.52438,423.37805, ,1113.3572,473.22858, ,283.63492,472.20636, ,620.23846,497.34616, ,1352.4111,522.2111, ,764.8134,521.3806, ,854.57855,547.82855, ,387.11765,622.64703, ,1040.6825,658.5073, ,318.76923,664.9231, ,482.44547,664.06366, ,652.6613,679.7258, ,1122.5509,773.2134, ,666.6012,798.375, ,734.5,815.4508, ,1219.1346,833.53845, ,1330.7699,884.2619, ,374.26343,923.2742, ,654.6386,931.6881, ,517.0577,935.0577, ,1207.2667,954.92224,*,981.85803,981.2037, ,1042.0957,978.4787, ,514.3039,989.2059, ,431.89395,994.5606, ,841.6,227.6, ,632.9151,998.6698, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,533.6539,14.961538, ,891.1667,14.576923, ,670.78156,47.208736, ,445.27444,93.49248, ,555.1,121.1, ,1063.8193,138.9958, ,1064.3156,216.30852, ,353.65555,222.77777, ,575.9561,284.4298, ,1099.7642,315.70755, ,1255.5984,338.18854, ,427.34482,367.09482, ,1002.1786,369.97144, ,1214.8088,393.0147, ,448.8409,424.5909, ,1113.082,476.0821, ,278.7353,469.15546, ,615.65717,497.87143, ,1350.5,521.76086, ,769.28876,522.8099, ,853.3803,544.21124, ,388.15,619.275, ,1046.1301,656.774, ,322.5,659.0, ,484.6356,658.2458, ,654.1377,675.6884, ,1114.4756,773.6707, ,663.2965,796.0465, ,733.5,814.6111, ,1212.3959,828.7917, ,1333.0344,886.36206, ,370.95282,918.17926, ,654.1261,929.74347, ,518.63684,930.73157, ,1210.3489,956.6977, ,983.89856,976.6739, ,1044.8112,979.1445, ,516.1875,984.375, ,439.44446,995.8889, ,843.0,223.15, ,633.4825,1000.6053, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,530.0714,13.414286, ,891.3788,13.348485, ,668.1331,48.593525, ,447.5138,92.95517, ,551.74,117.14, ,1062.0691,139.67073, ,1064.0358,217.15715, ,360.80588,226.58235, ,577.63086,280.25702, ,1099.72,312.44, ,1255.881,338.1905, ,424.09167,366.36667, ,1004.71185,368.40677, ,1216.7115,392.32693, ,447.5263,426.44736, ,1116.881,472.5, ,280.0098,470.39215, ,609.5541,502.52704, ,1351.3223,524.1, ,763.23334,520.32666, ,853.3485,547.51514, ,386.92856,619.5571, ,1045.118,658.4583, ,322.91934,661.79034, ,480.84427,659.4508, ,651.62305,674.3461, ,1115.9177,772.9739, ,663.9524,795.3274, ,733.81665,814.2167, ,1208.203,825.9752, ,1337.2937,887.10315, ,369.41666,920.65, ,655.709,930.097, ,519.0743,931.75745, ,1202.0823,959.55066, ,986.628,981.076, ,1048.407,978.22095, ,515.86536,986.0769, ,440.27777,1000.9167, ,845.78,229.22, ,626.582,1002.7951, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,526.6739,15.23913, ,889.5323,9.241936, ,669.9583,47.020832, ,450.77972,92.947556, ,549.4,121.23333, ,1064.5927,142.88889, ,1063.8834,217.16917, ,362.34616,220.8077, ,576.14655,284.25, ,1104.4574,310.1383, ,1258.8684,341.23685, ,428.6698,369.25473, ,1005.1161,368.64285, ,1216.5555,393.76666, ,449.575,429.45, ,1116.9918,472.84427, ,274.40195,471.37256, ,611.17163,505.30597, ,1347.7858,520.7143, ,765.34283,517.47144, ,857.2704,546.0333, ,383.55713,615.7286, ,1043.5493,655.22534, ,321.29544,663.25, ,481.08066,654.35486, ,651.6045,669.47015, ,1113.7576,772.3561, ,662.1818,792.96106, ,735.5,813.28687, ,1205.97,822.81, ,1342.4854,885.92645, ,369.3913,923.65216, ,655.20526,928.73157, ,516.0612,928.54083, ,1202.2128,959.18085, ,989.1467,979.6317, ,1047.5,978.3, ,510.32925,983.2317, ,438.47223,998.19446, ,837.36664,233.03334, ,623.2,995.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,530.8171,13.963414, ,898.2,9.8, ,668.16235,50.98052,*,452.2545,91.41018, ,548.3,120.925, ,1063.3379,140.93243, ,1063.8379,217.41891, ,359.6887,224.16037, ,571.7049,286.5246, ,1102.4387,313.94897, ,1253.5667,339.15, ,433.87692,375.1077, ,1003.88257,366.53357, ,1212.1666,396.22415, ,451.43182,427.29544, ,1119.1418,479.33582, ,276.1,466.71054, ,614.6791,507.5597, ,1345.5444,521.8333, ,761.54,511.22, ,855.9308,547.23846, ,379.53333,617.23334, ,1046.6848,656.3992, ,325.14,671.3, ,482.90384,653.8077, ,649.61426,671.4, ,1112.2637,769.79114, ,663.3588,793.5529, ,734.30646,812.64514, ,1206.1077,820.0769, ,1339.0676,887.87836, ,368.99335,927.0867, ,658.07367,928.98834, ,519.15344,929.7277, ,1199.2142,956.3132, ,988.48065,977.93225, ,1049.1666,974.7778, ,512.3298,986.20215, ,442.05884,998.6177, ,843.1389,230.55556, ,617.91174,995.7353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,531.5465,16.639534, ,898.32855,3.357143, ,667.10297,50.25,*,453.39725,94.26028, ,549.5909,118.704544, ,1067.6613,141.74193, ,1064.5972,217.13194, ,352.2,227.27142, ,570.4191,289.375, ,1099.9565,308.84784, ,1255.18,334.76666, ,429.44394,369.25702, ,1003.9902,374.51962, ,1210.0177,395.92352, ,453.02173,430.26086, ,1121.5769,477.86923, ,274.93243,464.02252, ,616.61426,508.45715, ,1342.0349,519.6163, ,762.6061,512.4545, ,854.564,548.532, ,379.92856,622.7857, ,1046.8712,662.5227, ,322.75,673.0357, ,483.6087,651.26086, ,651.30597,669.41046, ,1109.6506,770.8927, ,662.89636,794.21344, ,731.62067,813.2241, ,1208.41,815.08, ,1338.3235,886.5, ,366.27274,930.86365, ,658.2008,926.9803, ,520.7233,934.56793, ,1201.1235,952.5941, ,983.36206,979.592, ,1048.5454,977.8182, ,508.26596,989.05316, ,441.19232,999.53845, ,839.7093,234.05814, ,621.8947,995.8684, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,533.54877,22.621952, ,897.1279,11.732558, ,665.32117,46.44702, ,455.04544,90.13636, ,549.475,116.6, ,1065.18,141.7, ,1063.7168,217.46504, ,350.51236,227.78395, ,565.7126,288.20078, ,1098.8704,302.01852, ,1260.0217,333.5435, ,431.44287,366.3857, ,1009.1953,373.8047, ,1210.5217,399.1413, ,454.43478,432.5435, ,1121.2462,475.33582, ,272.45,466.75, ,619.08905,512.06165, ,1341.9419,516.94183, ,763.0417,511.45834, ,855.00665,541.8333, ,380.5,617.67145, ,1046.4839,669.45966, ,319.26923,674.46155, ,486.2037,656.03705, ,651.2031,670.2656, ,1109.3197,773.2664, ,662.87823,791.1603, ,736.4836,813.89343, ,1210.3446,814.5194, ,1335.8939,891.7121, ,369.24417,926.1047, ,660.628,926.908, ,519.6053,933.2263, ,1195.8778,956.9889, ,983.9726,980.99316, ,1048.0122,982.5244, ,502.64285,986.7619, ,442.02,1001.46, ,841.6053,236.73685, ,621.9516,995.4032, ,912.11536,584.78845, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,537.475,24.6, ,898.5,6.5, ,663.7727,50.48052, ,452.17346,96.30272,*,554.8171,120.597565, ,1063.6625,141.475, ,1064.9509,216.93137, ,349.72354,227.64117, ,564.9252,287.2638, ,1094.783,299.10376, ,1258.1586,327.34146, ,431.7477,367.32568, ,1016.28,378.67334, ,1212.0416,400.375, ,455.18085,433.52127, ,1122.3966,475.39655, ,273.5,472.17926, ,618.88635,505.68182, ,1346.9762,516.0714, ,761.5886,512.4747, ,860.35315,543.6748, ,374.97916,610.5417, ,1041.8893,672.897, ,318.0,675.5, ,485.90817,654.03064, ,652.1957,669.8913, ,1110.7422,764.3828, ,668.2963,789.26544, ,734.0738,809.13934, ,1211.8981,817.1019, ,1333.6039,890.9156, ,363.85898,924.9359, ,660.2068,927.8609, ,519.81,933.89, ,1197.9117,957.3588, ,982.4241,981.0886, ,1046.6957,987.54346, ,507.34445,985.6111, ,441.7,1001.42, ,843.45654,238.63043, ,623.2879,997.4091, ,908.75,582.05, ,1108.1102,789.0085, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
