Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10
Tracks 1 to 10
1,1094.7433,117.0946, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1097.1538,116.0641, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,1097.5714,121.27551, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,1101.625,124.693184, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,1102.4672,122.090164, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,1101.5189,122.73585, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,1106.5319,127.754776, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,1107.9878,125.89024, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,1113.6613,128.46774, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,1115.0211,123.95071, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,1115.6616,120.14646, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,1115.5476,113.95238, ,1111.5,357.9902, , , , , , , , , , , , , , , , , , , , , , , , , 
13,1117.5515,110.30412, ,1108.5834,358.5, , , , , , , , , , , , , , , , , , , , , , , , , 
14,1112.1692,108.57519, ,1104.5197,355.36273, , , , , , , , , , , , , , , , , , , , , , , , , 
15,1114.7255,110.539215, ,1102.949,352.88776, , , , , , , , , , , , , , , , , , , , , , , , , 
16,1111.9227,109.88145, ,1106.4788,356.07446, , , , , , , , , , , , , , , , , , , , , , , , , 
17,1113.743,106.294395, ,1103.04,354.68, , , , , , , , , , , , , , , , , , , , , , , , , 
18,1114.9071,108.15487, ,1107.9082,354.7449, , , , , , , , , , , , , , , , , , , , , , , , , 
19,1116.14,110.364, ,1106.341,353.6591, , , , , , , , , , , , , , , , , , , , , , , , , 
20,1115.1757,108.02252, ,1109.6459,348.25, , , , , , , , , , , , , , , , , , , , , , , , , 
21,1114.4835,110.0124, ,1107.0319,348.43616, , , , , , , , , , , , , , , , , , , , , , , , , 
22,1112.2587,110.5, ,1107.5,354.66327, , , , , , , , , , , , , , , , , , , , , , , , , 
23,1110.0897,109.226494, ,1111.0918,348.5, , , , , , , , , , , , , , , , , , , , , , , , , 
24,1110.0676,106.22973, ,1108.2556,349.63333, , , , , , , , , , , , , , , , , , , , , , , , , 
25,1107.5491,109.02941, ,1107.0209,353.35416, , , , , , , , , , , , , , , , , , , , , , , , , 
26,1107.7577,107.58247, ,1108.8182,350.29544, , , , , , , , , , , , , , , , , , , , , , , , , 
27,1108.3643,108.41358, ,1105.9286,354.27142, , , , , , , , , , , , , , , , , , , , , , , , , 
28,1105.7655,107.17257, ,1104.8658,357.47562, , , , , , , , , , , , , , , , , , , , , , , , , 
29,1104.0765,109.166664, ,1106.4706,358.91177, , , , , , , , , , , , , , , , , , , , , , , , , 
30,1105.3806,108.17164, ,1105.7667,362.3889, , , , , , , , , , , , , , , , , , , , , , , , , 
31,1104.5,105.752525, ,1106.7307,357.34616, , , , , , , , , , , , , , , , , , , , , , , , , 
