Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
1,494.4,135.45, ,497.0625,165.75, ,1326.42,245.06, ,1129.5834,288.66666, ,734.65625,322.875, ,779.0,406.27777, ,671.3421,427.9737, ,705.0,606.7857, ,448.95456,613.13635, ,891.11536,668.11536, ,1133.7307,680.11536, ,1187.1,1041.5667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,493.08823,137.61765, ,495.08823,159.61765, ,1324.9193,250.75807, ,1129.409,289.86365, ,732.84375,325.96875, ,778.4,404.45, ,671.4143,427.64285, ,697.96155,608.6539, ,446.75,617.8333, ,896.0,663.7857, ,1133.875,678.125, ,1186.9286,1038.7858, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,495.85715,136.71428, ,494.41666,161.33333, ,1328.0428,255.78572, ,1127.8572,290.2857, ,734.5172,325.4138, ,775.4,410.45, ,675.6875,426.65625, ,699.6539,608.96155, ,450.75,620.9167, ,896.2143,665.0, ,1134.125,679.40625, ,1193.5605,1037.0758, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,487.0625,137.75, ,496.65384,159.03847, ,1334.2561,254.96341, ,1128.1666,287.75, ,729.3823,329.06863, ,772.5,412.71054, ,677.80304,428.34848, ,699.8333,605.3889, ,450.0,618.0, ,898.88464,664.88464, ,1138.0,678.2273, ,1191.5278,1031.4166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,482.0,138.0, ,493.03333,160.16667, ,1335.9375,256.25, ,1125.5,285.0, ,732.3333,331.41666,*,774.08826,408.61765, ,680.0,430.20834, ,698.5,608.5, ,443.68182,622.6818, ,896.5,667.5, ,1141.1666,682.1061, ,1186.5,1032.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,479.0,140.0, ,490.23334,160.43333, ,1334.0769,258.57693, ,1120.3462,289.96155, ,729.1,327.18,*,775.08826,408.61765, ,684.0,428.0, ,700.5,610.5, ,439.7857,625.0, ,901.11536,669.11536, ,1142.6364,676.13635, ,1189.0862,1035.9482, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,477.91177,139.38235, ,494.91177,154.38235, ,1334.2858,256.89285, ,1119.0,288.5, ,730.5526,331.3158, ,771.125,410.0625, ,683.2561,423.7439, ,697.5909,613.13635, ,443.3,617.5, ,899.4091,664.86365, ,1141.5667,678.1667, ,1184.375,1039.1666, ,489.0,519.0, ,1166.0483,616.0806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,476.77777,139.33333, ,491.1,153.43333, ,1332.9857,261.1857, ,1123.7667,287.16666, ,729.0143,329.92856,*,773.9737,409.1316, ,683.775,423.2, ,698.5909,609.86365, ,440.0,617.2143, ,898.1429,663.2857, ,1138.8334,674.6429, ,1186.2241,1035.362, ,486.5909,519.86365, ,1167.119,620.0714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,477.125,136.0625, ,488.0,149.5, ,1333.7941,259.05884, ,1117.0,282.5, ,726.2647,328.32352, ,775.9211,406.92105, ,686.3958,423.85416, ,698.7,612.4, ,439.8846,622.88464, ,898.3461,660.96155, ,1138.0,672.0, ,1184.06,1035.3, ,483.75,517.8333, ,1165.7916,622.7917, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
