Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68
Tracks 1 to 68
1,966.38574,20.985714, ,694.46295,53.72222, ,795.63434,100.350746, ,1214.5938,160.53125, ,850.9828,181.81035, ,1222.9,217.83333, ,1036.2778,232.05556, ,693.28125,267.4375, ,697.98486,295.65152, ,528.87286,301.22882, ,570.87836,299.22974, ,1075.9595,310.77026, ,1343.0646,353.09677, ,299.36765,395.69116, ,900.2241,506.9138, ,534.413,526.8913, ,301.64893,534.0319, ,867.14514,534.30646, ,867.6875,567.1875, ,1292.9324,582.3919, ,603.1226,595.23584, ,793.125,593.4167, ,878.1,679.02, ,1065.5,717.3158, ,894.74194,736.4516, ,967.125,777.0, ,881.61536,792.8077, ,1399.9375,838.3906, ,1031.3043,889.1957, ,839.1,905.8714, ,1412.9651,958.6628, ,416.10715,1018.8393, ,281.28845,1019.6731, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,970.2027,26.094595, ,694.5357,53.82143, ,799.97943,99.58219, ,1215.5,156.375, ,851.4138,180.22414, ,1224.2646,217.29411, ,1037.0428,232.21428, ,688.84283,266.01428, ,699.6177,293.58823, ,529.9717,305.76416, ,574.2778,298.3889, ,1067.8846,312.93588, ,1337.3055,348.25, ,298.81708,398.34146, ,901.3904,505.15753, ,533.9211,526.6053, ,302.7,531.4, ,858.431,533.60345, ,866.875,564.34375, ,1290.4259,583.9074, ,603.5816,594.7857, ,798.1,593.46, ,882.2241,675.60345, ,1070.65,717.6,*,897.0,736.5135, ,973.8913,775.0217, ,880.5,793.2083, ,1397.4166,835.0208, ,1030.0186,893.2778, ,836.4474,908.9737, ,1415.6608,956.5, ,412.71054,1013.2193, ,284.9,1018.2143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,971.1389,29.11111, ,694.6429,54.42857, ,803.7143,99.35714, ,1211.2878,155.28787, ,852.10376,173.83963, ,1224.409,219.16667, ,1046.5,228.97368, ,690.30646,263.4355, ,707.52704,288.52704, ,534.10785,301.51962, ,568.2027,294.33783, ,1066.0294,312.2353, ,1335.8414,349.06097, ,297.22464,399.00723, ,904.0,505.48276, ,534.1087,527.06525, ,301.83334,536.6111, ,858.8077,533.9231, ,865.6111,562.0185, ,1289.183,585.03656, ,602.34906,592.8396, ,797.38,592.06, ,878.5714,677.4643, ,1073.2826,717.86957, ,893.36566,734.48505, ,971.5,774.5, ,881.3889,792.9815, ,1398.5613,836.19385, ,1025.7766,893.71277, ,836.2143,909.0714, ,1412.8226,955.0968, ,413.07895,1009.886, ,284.7,1015.24286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,971.3108,30.95946, ,694.5645,54.112904, ,805.0211,94.485916, ,1213.6515,155.62122, ,851.2833,168.9, ,1222.3387,219.04839, ,1043.6578,235.21053, ,692.4091,260.34848, ,709.0,279.61765, ,533.2143,304.09525, ,566.58105,293.85135, ,1066.5555,309.27777, ,1338.9186,347.03488, ,297.5921,395.6579, ,901.53125,508.65625,*,534.0714,526.7857, ,305.38678,528.6132, ,862.2037,537.2037, ,865.3148,566.4259, ,1293.9872,586.21796, ,601.4286,589.0357, ,792.64813,597.0185, ,880.36206,681.0862, ,1071.6936,719.9516, ,895.1533,731.23334, ,969.7917,771.9167, ,884.96155,794.03845, ,1398.2963,832.7963, ,1026.6082,895.3108, ,839.6579,907.4474, ,1407.1364,953.5, ,414.77585,1011.86206, ,286.35715,1014.4143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,972.61426,32.87143, ,694.4667,54.533333, ,805.9667,95.15, ,1213.0807,157.17741, ,852.9815,166.18518, ,1221.9117,217.14706, ,1042.5588,238.58824, ,692.67145,257.67142, ,707.9667,275.7, ,534.129,309.0, ,567.4,294.45, ,1062.8243,304.71622, ,1338.7593,345.72223, ,297.52777,392.9861, ,903.5,505.76086,*,534.36957,527.2826, ,307.84692,526.33673, ,861.20966,541.8871, ,866.9375,571.0625, ,1290.15,586.625, ,599.6818,587.8409, ,787.5,600.8214, ,882.21875,682.125, ,1070.6842,722.9474, ,898.5857,729.8143, ,961.84784,769.63043, ,888.0,801.5, ,1399.1111,827.6852, ,1025.1786,895.2143, ,838.775,911.225, ,1400.8191,952.6702, ,413.98572,1014.61426, ,287.375,1018.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,972.0625,29.53125, ,694.80304,54.348484, ,804.2681,95.96377, ,1211.0483,157.69354, ,852.42725,162.64546, ,1221.8948,211.8421, ,1038.6714,244.47144, ,689.46875,260.59375, ,706.7727,275.5303, ,537.2656,308.125, ,573.65216,290.06522, ,1061.409,306.13635, ,1336.0227,342.63635, ,299.28787,391.9394, ,904.3333,501.6389, ,534.1957,527.1957, ,311.63043,527.6739, ,856.56665,538.43335, ,874.5345,573.0517, ,1290.859,589.4231, ,597.18964,584.2241, ,788.1923,601.5769, ,891.31396,682.17444, ,1071.0122,725.4756, ,896.27356,727.93396, ,957.0714,767.119, ,888.38464,796.8077, ,1402.326,828.8261, ,1020.8043,893.36957, ,839.475,911.25, ,1399.238,956.4286, ,416.9,1012.15, ,289.37097,1014.5323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,970.38574,26.985714, ,694.75,53.25, ,808.4318,94.61364, ,1208.3334,153.43333, ,852.2222,159.61111, ,1224.2142,211.44286, ,1043.5883,246.38235, ,683.4697,257.5606, ,711.2647,270.20587, ,538.4146,304.4878, ,574.9878,291.13416, ,1063.581,300.33783, ,1332.2213,348.7459, ,298.10318,392.40475, ,908.8333,502.0797,*,534.2368,526.8684, ,313.68182,526.37274, ,857.23334,535.0333, ,875.60345,571.3276, ,1285.0366,591.6951, ,601.31036,581.1724, ,792.74,595.5, ,890.05,683.85, ,1074.8182,719.5, ,894.35077,726.05225, ,961.7174,761.9783, ,888.0769,794.6539, ,1400.8818,822.7364, ,1015.4167,890.5, ,841.55,913.05, ,1401.6515,959.0909, ,423.05554,1012.80554, ,286.1111,1010.75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,975.9,26.025, ,694.5357,53.82143, ,808.0156,93.640625, ,1214.3667,155.46666, ,852.8269,155.07692, ,1223.7646,209.5, ,1045.0161,250.1129, ,683.14703,256.55884, ,705.17645,267.20587, ,536.9429,309.4, ,571.675,288.2, ,1063.0,297.59375, ,1329.6666,347.44446, ,297.30884,392.0, ,913.71875,497.5625, ,533.9783,527.0217, ,312.1769,529.03845, ,858.3889,535.9815, ,872.8571,571.7143, ,1283.0946,594.4459, ,598.7083,582.75, ,791.7692,595.2308, ,895.2143,685.3571, ,1076.0555,720.19446, ,894.0,727.8378, ,961.8889,765.3889, ,889.74,790.82, ,1405.6333,818.4778, ,1016.89215,891.4216, ,843.4459,909.93243, ,1403.009,958.2455, ,427.3125,1005.4792, ,288.58,1008.84, ,434.2381,576.1667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,972.7778,24.0, ,694.8871,53.919353, ,806.21643,96.24627, ,1214.9193,153.33871, ,852.6818,154.40909, ,1226.3529,210.73529, ,1036.9546,251.98485, ,677.98486,259.28787, ,707.38574,263.55713, ,539.01514,301.79294, ,571.08826,292.61765, ,1062.0333,296.26666, ,1327.3462,345.26923, ,298.3,389.56668, ,914.4667,498.76666, ,534.375,526.7917, ,310.0909,532.3788, ,856.36664,535.1667, ,873.79034,571.3387, ,1281.1976,591.6628, ,600.6875,584.4792, ,797.13336,589.86664, ,891.45654,687.7174, ,1076.18,718.94, ,896.57465,726.6045, ,965.6579,767.2895, ,894.3461,785.53845, ,1409.34,815.06, ,1017.325,891.5, ,841.70514,909.7308, ,1400.2142,955.2143, ,428.29166,1002.3125, ,289.60345,1004.36206, ,437.11365,569.88635, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
