Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42
Tracks 1 to 42
1,796.7105,87.81579, ,106.166664,95.05556, ,1257.6578,100.552635, ,1438.125,103.75, ,698.25,124.833336, ,1391.8334,194.625, ,412.03125,199.25, ,1161.1,206.5, ,1055.5,261.16666, ,1155.0555,313.80554, ,1024.2354,320.5, ,559.56665,562.06665, ,362.64633,563.2805, ,1021.85614,759.66437, ,781.3182,768.0, ,1142.5,932.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,793.00525,90.2579, ,106.375,95.375, ,1257.3572,101.11905, ,1438.3889,104.27778, ,699.0,125.28571, ,1389.6305,189.67392, ,412.96875,198.1875, ,1160.8334,206.94444, ,1051.8715,261.24286, ,1154.0264,311.9737, ,1024.8529,319.08823, ,566.5,564.5, ,364.31396,559.47675, ,1024.3096,764.0873, ,781.63043,765.23914, ,1146.7084,928.5, ,772.15216,244.06522, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,795.47644,88.194115, ,106.388885,95.166664, ,1257.2894,100.81579, ,1438.2,103.8, ,699.88464,125.11539, ,1390.7609,186.54347, ,419.1875,195.6875, ,1161.25,206.125, ,1047.5,255.16667, ,1150.3182,306.5, ,1027.125,321.34375, ,564.7222,561.5, ,367.8158,555.7632, ,1024.7931,764.31036, ,780.2826,765.0217, ,1150.9073,935.7593, ,772.0405,243.2027, ,485.0,474.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,794.9889,88.14445, ,106.166664,95.388885, ,1257.65,100.8, ,1438.125,103.75, ,696.3125,119.6875, ,1397.34,186.5, ,421.55884,196.76471, ,1161.0834,206.08333, ,1054.7285,256.7857, ,1142.9872,309.2436, ,1022.19696,316.80304, ,563.7593,560.7222, ,365.925,555.025, ,1026.5588,764.7794, ,786.3333,759.9167, ,1150.8462,933.8461, ,771.86584,242.37805, ,485.5,468.17856, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,795.5128,85.871796, ,106.166664,95.388885, ,1257.5454,100.90909, ,1438.1666,103.94444, ,701.6875,117.0, ,1394.94,181.58, ,416.58823,194.47058, ,1161.2693,206.73077, ,1053.5857,259.95715, ,1146.7222,309.66666, ,1015.92426,314.5606, ,564.4286,561.3929, ,370.775,553.95, ,1029.75,763.5333, ,782.3077,757.7692, ,1154.875,929.6667, ,772.0714,239.92857, ,481.5,468.9643, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,797.2083,87.583336,*,106.35714,95.21429, ,1257.5,100.5, ,1438.3182,103.954544, ,693.9286,111.42857, ,1397.1666,184.375, ,418.32858,190.47144, ,1160.9445,205.72223, ,1050.7307,259.1154, ,1142.0,311.0, ,1017.4143,319.35715, ,563.8571,556.5357, ,366.63043,558.26086, ,1034.9462,762.54614, ,783.60345,766.12067, ,1152.34,925.66, ,772.4375,241.875, ,480.0,469.7143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,795.21796,82.69231,*,106.75,95.5, ,1257.125,100.791664, ,1438.3,104.1, ,692.36664,112.96667, ,1399.8334,184.625, ,420.0,185.40625, ,1161.409,206.86363, ,1054.2028,263.5, ,1140.6613,311.8871, ,1012.82355,319.20587, ,571.4231,559.53845, ,364.26086,558.3913, ,1034.2142,763.0714, ,784.60345,766.6724, ,1151.5714,924.4286, ,771.5,244.63792, ,480.77585,463.05173, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,797.3823,87.73529,*,106.64286,94.78571, ,1257.4546,100.63636, ,1438.1666,103.611115, ,687.87836,108.689186, ,1398.2084,182.54167, ,421.3,183.58571, ,1160.8846,205.96153, ,1055.1389,259.5, ,1139.0312,310.15625, ,1009.2353,315.70587, ,567.2241,555.6724, ,355.57693,556.25, ,1028.8877,755.4184, ,787.9783,764.36957, ,1155.54,916.58, ,771.8137,242.59804, ,482.7069,462.5345, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,796.881,88.45238, ,106.166664,95.388885, ,1257.4584,100.875, ,1437.9445,103.833336, ,690.1279,105.98837, ,1402.2826,178.36957, ,421.32858,179.47144, ,1161.1666,205.94444, ,1050.2693,254.96153, ,1143.0,307.79413, ,1014.80304,312.34848, ,567.9194,553.4355, ,355.2736,555.6321, ,1029.6212,756.24243, ,790.2308,760.8461, ,1150.3928,916.3214, ,772.41174,242.88235, ,481.7414,458.05173, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,795.6,88.55, ,107.0,95.5, ,1257.5,100.98, ,1438.0834,104.25, ,685.0686,101.28432, ,1397.7307,182.1923, ,421.0,177.1842, ,1160.8334,206.16667, ,1053.4269,256.47562, ,1145.242,308.75806, ,1014.58826,312.47058, ,564.7,547.3333, ,353.9,557.9889, ,1028.2847,757.2846, ,795.3889,753.64813, ,1152.2273,914.8182, ,772.17645,244.14706, ,475.39655,460.63794, ,667.1667,200.83333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,797.3889,87.77778, ,106.86364,94.681816, ,1257.6818,100.59091, ,1438.1666,103.611115, ,688.2143,101.59524, ,1391.1957,175.28261, ,427.04053,181.28378, ,1161.1666,205.94444, ,1046.8889,254.63889, ,1143.0186,312.16666, ,1013.1667,318.22223, ,566.5,543.5, ,354.52438,555.6951, ,1025.6406,755.1875, ,799.9,751.2, ,1154.5,915.46295, ,771.22095,242.54651, ,478.0926,458.42593, ,666.625,199.125, ,852.35297,248.26471, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,796.43335,88.3, ,106.5,95.5, ,1256.2241,100.74138, ,1438.3889,104.27778, ,690.2838,101.33784, ,1388.9,178.3, ,426.44116,182.26471, ,1160.8846,206.26923, ,1047.4736,249.47368, ,1141.6666,307.56668, ,1010.32355,314.61765, ,568.0333,538.8, ,348.07446,556.94684, ,1029.839,756.4322, ,799.7273,749.7727, ,1155.2778,918.5741, ,772.2143,243.42857, ,477.07144,455.32144, ,666.8333,198.75, ,856.2778,248.05556, ,1030.1,365.15714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,796.55554,88.44444, ,106.5,95.5, ,1257.18,100.66, ,1438.0454,103.681816, ,685.1445,103.12222, ,1387.1875,181.875, ,428.19446,183.77777, ,1161.1666,206.05556, ,1047.625,244.15, ,1140.4117,311.97058, ,1012.1389,314.8889, ,570.4259,538.05554, ,348.17392,562.4783, ,1036.15,752.2167, ,802.5833,748.5833, ,1148.5,919.0, ,772.25,244.0, ,485.77585,450.56897, ,666.4167,199.16667, ,850.5278,251.61111, ,1027.5,362.1216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
