Time,IR,Red,Green,Blue
0,417641,363415,524287,417089
0.02,417629,363434,524287,417225
0.04,417608,363338,524287,417380
0.06,417509,363238,524287,417488
0.08,417443,363203,524287,417695
0.1,417447,363225,524287,417827
0.12,417566,363268,524287,417963
0.14,417548,363244,524287,418147
0.16,417553,363208,524287,418297
0.18,417404,363082,524287,418417
0.2,416927,362754,524287,418492
0.22,416246,362300,524287,418456
0.24,415696,361964,524287,418317
0.26,415199,361622,524287,418259
0.28,414857,361441,524287,418090
0.3,414656,361268,524287,417993
0.32,414520,361244,524287,417904
0.34,414406,361172,524287,417860
0.36,414396,361179,524287,417837
0.38,414395,361163,524287,417886
0.4,414452,361157,524287,417969
0.42,414591,361265,524287,418064
0.44,414615,361273,524287,418097
0.46,414655,361312,524287,418256
0.48,414604,361232,524287,418350
0.5,414637,361178,524287,418414
0.52,414757,361180,524287,418512
0.54,414930,361337,524287,418659
0.56,415110,361359,524287,418779
0.58,415039,361306,524287,418824
0.6,414953,361296,524287,418823
0.62,414924,361227,524287,418886
0.64,414888,361191,524287,418916
0.66,414901,361175,524287,419035
0.68,414965,361195,524287,419106
0.7,414947,361229,524287,419237
0.72,414996,361163,524287,419313
0.74,414963,361134,524287,419342
0.76,414919,361130,524287,419461
0.78,414863,361041,524287,419529
0.8,414758,361065,524287,419615
0.82,414745,361040,524287,419768
0.84,414826,361000,524287,419856
0.86,414848,361129,524287,420009
0.88,415018,361099,524287,420125
0.9,415036,361182,524287,420324
0.92,414900,361057,524287,420406
0.94,414541,360800,524287,420391
0.96,414181,360498,524287,420346
0.98,413854,360343,524287,420259
1,413747,360209,524287,420143
1.02,413730,360261,524287,420104
1.04,413902,360396,524287,420080
1.06,414027,360347,524287,420121
1.08,414110,360351,524287,420195
1.1,414178,360390,524287,420307
1.12,414280,360468,524287,420378
1.14,414483,360573,524287,420491
1.16,414729,360645,524287,420660
1.18,414747,360707,524287,420815
1.2,414604,360605,524287,420836
1.22,414436,360445,524287,420857
1.24,414294,360411,524287,420884
1.26,414187,360312,524287,420950
1.28,414192,360273,524287,420997
1.3,414140,360200,524287,421072
1.32,414186,360264,524287,421104
1.34,414225,360273,524287,421124
1.36,414295,360301,524287,421164
1.38,414339,360315,524287,421302
1.4,414419,360320,524287,421424
1.42,414478,360317,524287,421497
1.44,414563,360402,524287,421621
1.46,414535,360397,524287,421684
1.48,414656,360457,524287,421846
1.5,414667,360536,524287,421958
1.52,414781,360571,524287,422040
1.54,414811,360585,524287,422235
1.56,414921,360564,524287,422329
1.58,415050,360643,524287,422487
1.6,415146,360764,524287,422606
1.62,415122,360695,524287,422748
1.64,414984,360522,524287,422831
1.66,414653,360329,524287,422779
1.68,414058,359920,524287,422645
1.7,413525,359633,524287,422360
1.72,413011,359346,524287,422066
1.74,412730,359167,524287,421753
1.76,412615,359120,524287,421469
1.78,412599,359098,524287,421280
1.8,412551,359053,524287,421166
1.82,412578,359103,524287,421037
1.84,412580,359099,524287,420994
1.86,412630,359064,524287,420988
1.88,412686,359191,524287,420977
1.9,412730,359151,524287,421036
1.92,412631,359161,524287,421042
1.94,412541,359011,524287,420987
1.96,412398,358894,524287,420930
1.98,412259,358880,524287,420892
2,412209,358770,524287,420808
2.02,412177,358759,524287,420697
2.04,412136,358748,524287,420655
2.06,412182,358772,524287,420631
2.08,412218,358783,524287,420675
2.1,412286,358825,524287,420704
2.12,412319,358800,524287,420720
2.14,412279,358783,524287,420817
2.16,412289,358809,524287,420827
2.18,412351,358843,524287,420871
2.2,412421,358867,524287,420924
2.22,412353,358805,524287,420955
2.24,412350,358778,524287,421029
2.26,412423,358803,524287,421093
2.28,412483,358838,524287,421142
2.3,412526,358801,524287,421214
2.32,412521,358864,524287,421253
2.34,412504,358781,524287,421339
2.36,412183,358625,524287,421257
2.38,411810,358348,524287,421075
2.4,411261,357989,524287,420666
2.42,410768,357749,524287,420140
2.44,410450,357526,524287,419547
2.46,410220,357449,524287,418992
2.48,410139,357328,524287,418552
2.5,410006,357295,524287,418184
2.52,409947,357294,524287,417921
2.54,409992,357345,524287,417749
2.56,410064,357325,524287,417631
2.58,410090,357380,524287,417584
2.6,410164,357404,524287,417605
2.62,410183,357399,524287,417582
2.64,410095,357358,524287,417541
2.66,409989,357237,524287,417439
2.68,409853,357161,524287,417307
2.7,409722,357112,524287,417174
2.72,409595,357011,524287,417040
2.74,409574,356965,524287,416914
2.76,409533,357003,524287,416856
2.78,409560,356955,524287,416754
2.8,409571,356951,524287,416728
2.82,409632,357023,524287,416755
2.84,409770,357077,524287,416814
2.86,409772,357126,524287,416884
2.88,409844,357145,524287,416907
2.9,409829,357110,524287,417050
2.92,409934,357058,524287,417117
2.94,409964,357105,524287,417239
2.96,409976,357100,524287,417291
2.98,410006,357197,524287,417411
3,410024,357167,524287,417525
3.02,410113,357149,524287,417636
3.04,410102,357199,524287,417822
3.06,410224,357237,524287,418020
3.08,410179,357195,524287,418090
3.1,409788,356961,524287,418016
3.12,409350,356734,524287,417779
3.14,408818,356195,524287,417401
3.16,408419,355970,524287,416845
3.18,408075,355836,524287,416341
3.2,407937,355728,524287,415657
3.22,407857,355702,524287,415360
3.24,407860,355632,524287,415117
3.26,407823,355709,524287,415033
3.28,407916,355758,524287,414898
3.3,408064,355814,524287,414991
3.32,408168,355846,524287,415045
3.34,408166,355921,524287,415192
3.36,408191,355924,524287,415190
3.38,408151,355840,524287,415200
3.4,408068,355793,524287,415108
3.42,407973,355796,524287,415070
3.44,407974,355765,524287,414999
3.46,408002,355763,524287,415017
3.48,408101,355771,524287,415060
3.5,408226,355874,524287,415154
3.52,408353,355928,524287,415274
3.54,408443,355952,524287,415408
3.56,408578,356043,524287,415575
3.58,408765,356042,524287,415679
3.6,408811,356091,524287,415846
3.62,408895,356120,524287,416086
3.64,409097,356263,524287,416331
3.66,409215,356327,524287,416533
3.68,409236,356341,524287,416725
3.7,409299,356328,524287,416928
3.72,409329,356375,524287,417093
3.74,409393,356417,524287,417253
3.76,409484,356443,524287,417445
3.78,409567,356487,524287,417623
3.8,409689,356528,524287,417831
3.82,409818,356546,524287,418029
3.84,409914,356614,524287,418211
3.86,409813,356544,524287,418398
3.88,409468,356309,524287,418425
3.9,408981,356033,524287,418308
3.92,408460,355677,524287,417966
3.94,408039,355491,524287,417504
3.96,407690,355297,524287,417088
3.98,407529,355236,524287,416712
4,407463,355211,524287,416460
4.02,407471,355236,524287,416272
4.04,407571,355257,524287,416177
4.06,407647,355304,524287,416126
4.08,407703,355360,524287,416177
4.1,407858,355392,524287,416203
4.12,407953,355455,524287,416265
4.14,407988,355458,524287,416357
4.16,407911,355437,524287,416365
4.18,407785,355362,524287,416396
4.2,407721,355232,524287,416342
4.22,407633,355273,524287,416325
4.24,407650,355269,524287,416333
4.26,407689,355284,524287,416339
4.28,407669,355293,524287,416448
4.3,407796,355366,524287,416508
4.32,407977,355400,524287,416659
4.34,408188,355526,524287,416849
4.36,408300,355628,524287,417086
4.38,408493,355668,524287,417243
4.4,408609,355764,524287,417530
4.42,408682,355799,524287,417654
4.44,408778,355817,524287,417888
4.46,408846,355882,524287,418112
4.48,408991,355957,524287,418352
4.5,409212,356044,524287,418578
4.52,409314,356108,524287,418811
4.54,409438,356137,524287,419032
