Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
1,989.15717,88.7, ,587.14,229.18, ,873.4429,308.15714, ,1387.5,322.0, ,966.9483,372.0862, ,588.1585,452.2805, ,1023.81036,473.94827, ,481.95282,538.9717, ,525.81036,607.9483, ,1302.6,663.4, ,322.4,831.4, ,324.0625,951.0625, ,724.55554,1075.6111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,986.2879,88.954544, ,586.8929,229.0, ,871.2742,311.17743, ,1387.2858,324.14285, ,967.0161,370.2742, ,590.4672,450.68033, ,1023.26,475.58, ,478.24545,541.93634, ,527.5833,607.0, ,1306.0385,663.6539, ,319.79413,830.44116, ,319.42307,953.03845, ,727.3421,1072.9736, ,618.1,436.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,986.32855,90.814285, ,587.0,228.89285, ,866.5303,309.68182, ,1385.5,319.83334, ,963.87933,369.43103, ,590.7222,451.75925, ,1024.0172,469.4655, ,477.7,544.23334, ,529.74,603.7, ,1303.8846,658.4231, ,316.03333,832.23334, ,318.83334,945.7, ,733.0,1066.3334, ,618.0714,438.64285, ,592.5,772.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,985.2778,92.333336, ,584.2857,232.5, ,864.2778,308.02777, ,1382.2142,324.35715, ,964.9,370.42, ,589.7759,456.2931, ,1026.2037,468.64816, ,477.0862,544.86206, ,529.1539,605.2308, ,1307.5,661.5, ,310.67648,828.44116, ,326.3125,943.1875, ,734.3461,1064.5769, ,618.0,438.5,*,590.0,770.5, ,308.5,170.0, ,969.8333,537.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,980.98486,90.77273, ,581.5357,232.14285, ,864.63513,311.98648, ,1381.6333,322.96667, ,966.9074,369.94446, ,589.2818,454.28183, ,1025.7174,463.84784, ,478.9655,545.7586, ,528.87036,607.1667, ,1305.5,656.5, ,310.83334,830.9667, ,324.85294,938.67645, ,730.375,1062.25, ,617.3,438.9,*,589.25,768.25, ,312.5,167.0, ,973.94446,535.94446, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,979.80304,90.77273, ,578.2037,231.64815, , , , ,1383.2858,324.14285, ,967.0926,372.98148, ,587.81036,454.6207, ,1031.5769,458.42307, ,478.09015,543.4508, ,528.2143,609.3929, ,1309.5,654.5, ,308.66666,830.4167, ,325.94446,937.3889, ,731.3,1060.9, ,613.5,443.0, ,590.7727,767.2727, ,313.5,168.5, ,973.1,535.9667, ,855.4474,306.26315, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,978.4429,88.98572, ,580.8929,230.53572, , , , ,1384.1154,325.19232, ,960.3,373.34, ,585.226,460.11642, ,1030.9667,461.73334, ,479.05356,541.8214, ,526.0714,604.3929, ,1307.5,654.5, ,308.7857,827.0714, ,323.3125,939.1875, ,732.0333,1058.6333, ,617.3148,445.3889,*,589.2857,768.7857, ,316.5,162.0, ,974.1,538.95, ,851.7941,306.05884, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,975.6515,88.681816, ,581.0172,230.77586, , , , ,1387.1154,324.1154, ,956.4259,368.94446, ,589.84375,462.60938, ,1035.9286,463.5357, ,479.55554,539.96295, ,527.61536,607.1923, ,1310.9445,654.7222, ,310.04544,828.6818, ,322.2143,940.6429, ,730.13635,1061.1818, ,616.60345,445.36206, ,587.0,767.05554, ,313.5,166.5, ,976.11536,539.5, ,855.375,303.1875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,976.5,87.76471, ,583.75,227.75, , , , ,1388.5,324.66666, ,956.5,374.20834, ,589.63434,463.3209, ,1033.4688,466.21875, ,482.27274,539.1818, ,523.46,606.34, ,1305.5,655.6, ,314.07144,830.8571, ,325.42856,940.2143, ,729.95,1060.2, ,616.1316,438.8684, ,589.5,770.125, , , , ,975.0,539.5, ,856.53125,305.46875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,974.0,90.20588, ,584.15216,226.71739, , , , ,1390.0,326.5, ,958.1875,375.25, ,590.4231,461.96155, ,1028.1129,464.69354, ,481.693,538.6053, ,525.5,603.26, ,1308.0883,658.85297, ,315.5,830.5, ,328.38235,942.91174, ,730.0,1057.2273, ,617.6786,441.9643,*,591.5,770.5, , , , ,968.86365,538.8182, ,858.0,305.56668, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
